,Nationality,Title,Artist,BeginDate,EndDate,Gender,Date,Department
2736,French,The Wedding,Louis Vivin,1861.0,1936.0,Male,1925,Painting & Sculpture
2737,Swiss,Sand Pillar 1979-82,Roman Signer,1938.0,,Male,1982,Media and Performance Art
2738,American,New York,Helen Levitt,1913.0,2009.0,Female,1940,Photography
2739,American,Flatso,Ken Price,1935.0,2012.0,Male,1999,Painting & Sculpture
2740,French,SAINT SULPICE. CHAPELLE DU SACRÉ COEUR,Eugène Atget,1857.0,1927.0,Male,1903,Photography
2741,American,"Brochure for 860/880 Lake Shore Drive Apartment Building, Chicago, Illinois",Ludwig Mies van der Rohe,1886.0,1969.0,Male,1950,Architecture & Design
2742,American,New York,Ben Shahn,1898.0,1969.0,Male,1936,Photography
2743,Belgian,In-text plate (folio 15) from VACILLATIONS,Pierre Alechinsky,1927.0,,Male,1979,Prints & Illustrated Books
2744,Russian,Patriotic propaganda postcards with verse by Vladimir Mayakovsky,Kazimir Malevich,1878.0,1935.0,Male,1914,Prints & Illustrated Books
2745,French,"JANUARY (headpiece, page 19) from ALMANACH DES LETTRES ET DES ARTS",Raoul Dufy,1877.0,1953.0,Male,1917,Prints & Illustrated Books
2746,British,Headpiece (page 75) from FABLES,Thomas Bewick,1753.0,1828.0,Male,1818,Prints & Illustrated Books
2747,French,"Seville, Spain",Henri Cartier-Bresson,1908.0,2004.0,Male,1933,Photography
2748,American,Two from Folio,Terry Winters,1949.0,,Male,1986,Prints & Illustrated Books
2749,American,The Athlete,Max Weber,1881.0,1961.0,Male,1930,Drawings
2750,French,Untitled from Favorite Objects,Christian Boltanski,1944.0,,Male,1998,Prints & Illustrated Books
2751,,Louise Bourgeois,Felix Harlan,,,Male,2008,Prints & Illustrated Books
2752,Nationality Unknown,United States travel poster,Unknown,,,Gender Unknown,1922,Architecture & Design
2753,French,The Musician,Roger de La Fresnaye,1885.0,1925.0,Male,1921,Drawings
2754,French,HÔTEL LAVALETTE-FIEUBET. QUAI DES CÉLESTINS,Eugène Atget,1857.0,1927.0,Male,1898,Photography
2755,American,"Stanley Marcus House, project, Dallas, TX",Frank Lloyd Wright,1867.0,1959.0,Male,1935,Architecture & Design
2756,American,Wardrobe Malfunction (for Parkett no. 82),Rachel Harrison,1966.0,,Female,2008,Prints & Illustrated Books
2757,Mexican,Immigrants,Francisco Dosamantes,1911.0,1986.0,Male,1926,Prints & Illustrated Books
2758,American,The Night,Louise Bourgeois,1911.0,2010.0,Female,2001,Prints & Illustrated Books
2759,American,"Lines, Not Long, Not-Straight & Not Touching",Sol LeWitt,1928.0,2007.0,Male,1971,Prints & Illustrated Books
2760,American,Indianapolis,Lewis W. Hine,1874.0,1940.0,Male,1908,Photography
2761,Japanese,"THE TEN O'CLOCK LION (plate, folio 10) from PINK JELLY",Kinji Akagawa,1940.0,,Male,1966,Prints & Illustrated Books
2762,American,Twice Sold Object: The Black Factory Spring Water,William Pope.L,1955.0,,Male,2005,Prints & Illustrated Books
